,Domain
1678,Web libraries and frameworks
1451,Software tools
3098,Software tools
518,Non-web libraries and frameworks
3687,Software tools
2708,Non-web libraries and frameworks
1353,Software tools
472,Non-web libraries and frameworks
3221,Non-web libraries and frameworks
3895,Web libraries and frameworks
3041,Non-web libraries and frameworks
2366,Non-web libraries and frameworks
738,Documentation
1947,Non-web libraries and frameworks
1888,Non-web libraries and frameworks
588,Software tools
699,Web libraries and frameworks
2481,Application software
4394,Non-web libraries and frameworks
2487,Software tools
3345,Software tools
3137,Web libraries and frameworks
4522,Software tools
2451,Non-web libraries and frameworks
2796,Documentation
2763,Web libraries and frameworks
2464,Software tools
4640,Non-web libraries and frameworks
1013,Non-web libraries and frameworks
3022,Web libraries and frameworks
3470,Non-web libraries and frameworks
2377,Non-web libraries and frameworks
2754,Documentation
2600,Non-web libraries and frameworks
2926,Web libraries and frameworks
3794,System software
1811,Web libraries and frameworks
4243,Software tools
1339,Web libraries and frameworks
2041,Software tools
1749,Non-web libraries and frameworks
4192,Non-web libraries and frameworks
3404,Web libraries and frameworks
1499,Web libraries and frameworks
4023,Non-web libraries and frameworks
366,Software tools
4293,Web libraries and frameworks
2147,Application software
663,Non-web libraries and frameworks
945,Web libraries and frameworks
1860,Non-web libraries and frameworks
3943,Web libraries and frameworks
3888,Application software
1637,Documentation
921,Web libraries and frameworks
1126,Web libraries and frameworks
1616,Non-web libraries and frameworks
2074,System software
4147,Web libraries and frameworks
1027,Web libraries and frameworks
4366,Non-web libraries and frameworks
2460,Non-web libraries and frameworks
2251,Non-web libraries and frameworks
4715,Non-web libraries and frameworks
3432,Application software
3878,Application software
1236,Software tools
2939,Application software
3238,Non-web libraries and frameworks
628,Non-web libraries and frameworks
1567,Web libraries and frameworks
1281,Non-web libraries and frameworks
1899,Web libraries and frameworks
2614,System software
2797,Software tools
893,Non-web libraries and frameworks
2544,Non-web libraries and frameworks
2334,Software tools
98,Documentation
397,Web libraries and frameworks
2212,Application software
3162,System software
729,Web libraries and frameworks
4657,Non-web libraries and frameworks
2720,Application software
1398,Application software
149,Web libraries and frameworks
3566,Non-web libraries and frameworks
4609,Non-web libraries and frameworks
2776,System software
3575,Non-web libraries and frameworks
2429,Non-web libraries and frameworks
3122,Software tools
3127,Non-web libraries and frameworks
2919,Web libraries and frameworks
1365,System software
3770,Application software
3965,Non-web libraries and frameworks
3853,Documentation
2055,Web libraries and frameworks
3809,Application software
2533,Web libraries and frameworks
3694,Application software
1839,Application software
4375,Web libraries and frameworks
620,Web libraries and frameworks
2686,Application software
2738,Non-web libraries and frameworks
2822,Non-web libraries and frameworks
2289,Software tools
2769,Software tools
2693,Web libraries and frameworks
1978,Web libraries and frameworks
1308,System software
3476,Software tools
3286,Documentation
3213,Non-web libraries and frameworks
431,Software tools
389,Non-web libraries and frameworks
1676,Web libraries and frameworks
4398,Web libraries and frameworks
282,Non-web libraries and frameworks
3862,Documentation
2633,Web libraries and frameworks
3639,Application software
3971,Web libraries and frameworks
4458,Non-web libraries and frameworks
216,Web libraries and frameworks
1405,Web libraries and frameworks
2956,Web libraries and frameworks
2991,Non-web libraries and frameworks
2278,Non-web libraries and frameworks
983,Documentation
3006,Web libraries and frameworks
311,Web libraries and frameworks
1325,System software
3268,Non-web libraries and frameworks
1665,Documentation
1306,Web libraries and frameworks
3389,Non-web libraries and frameworks
4482,Non-web libraries and frameworks
503,Web libraries and frameworks
1955,Software tools
2555,System software
3053,Web libraries and frameworks
2066,Web libraries and frameworks
3031,System software
479,Application software
607,Software tools
487,Non-web libraries and frameworks
1795,System software
812,Software tools
1431,Non-web libraries and frameworks
598,Web libraries and frameworks
138,Web libraries and frameworks
1653,Software tools
4242,Web libraries and frameworks
3976,Web libraries and frameworks
1478,Web libraries and frameworks
4717,Web libraries and frameworks
2220,Web libraries and frameworks
733,Web libraries and frameworks
4583,Software tools
949,Web libraries and frameworks
4546,Web libraries and frameworks
807,Documentation
4043,Non-web libraries and frameworks
4255,Non-web libraries and frameworks
2825,Web libraries and frameworks
2071,System software
3306,Application software
831,Non-web libraries and frameworks
2500,Documentation
2635,Software tools
2917,Software tools
1686,Application software
1347,Application software
3672,Web libraries and frameworks
482,Web libraries and frameworks
3315,Documentation
746,Web libraries and frameworks
1195,Non-web libraries and frameworks
4039,Application software
424,Non-web libraries and frameworks
915,Web libraries and frameworks
529,Software tools
136,Web libraries and frameworks
2707,System software
4654,Software tools
870,Non-web libraries and frameworks
727,Web libraries and frameworks
2166,Software tools
858,Software tools
3214,Software tools
3392,Web libraries and frameworks
638,Application software
4185,Web libraries and frameworks
690,System software
1430,Application software
1927,Web libraries and frameworks
1986,Software tools
854,Web libraries and frameworks
817,Software tools
1662,Non-web libraries and frameworks
3966,Application software
4307,Software tools
2841,Web libraries and frameworks
1921,Software tools
4149,Web libraries and frameworks
1049,Software tools
2155,Software tools
4744,System software
4554,Software tools
157,Documentation
1564,Web libraries and frameworks
458,Web libraries and frameworks
1329,Non-web libraries and frameworks
3839,Web libraries and frameworks
2913,Non-web libraries and frameworks
2596,Web libraries and frameworks
4808,Web libraries and frameworks
3651,Non-web libraries and frameworks
343,Web libraries and frameworks
4747,Non-web libraries and frameworks
4621,Software tools
4830,Non-web libraries and frameworks
3714,Software tools
2716,Web libraries and frameworks
1472,Non-web libraries and frameworks
2768,Web libraries and frameworks
1963,Application software
2468,Web libraries and frameworks
513,Documentation
1140,Application software
2824,Application software
3502,Application software
2755,Web libraries and frameworks
150,Software tools
1368,Application software
3586,Web libraries and frameworks
2690,Non-web libraries and frameworks
830,Non-web libraries and frameworks
880,Software tools
2368,Non-web libraries and frameworks
4748,Non-web libraries and frameworks
1991,Application software
1220,Non-web libraries and frameworks
4299,Web libraries and frameworks
4377,Web libraries and frameworks
2850,Web libraries and frameworks
158,Non-web libraries and frameworks
2694,Application software
1129,Documentation
3891,Web libraries and frameworks
1928,Non-web libraries and frameworks
104,System software
1206,Web libraries and frameworks
828,Software tools
3087,Non-web libraries and frameworks
2556,Non-web libraries and frameworks
1249,Web libraries and frameworks
3889,Software tools
3649,Web libraries and frameworks
2006,Software tools
1739,Web libraries and frameworks
2502,Non-web libraries and frameworks
2488,Application software
689,Non-web libraries and frameworks
1278,Non-web libraries and frameworks
3590,Non-web libraries and frameworks
1655,Web libraries and frameworks
1866,Non-web libraries and frameworks
21,Application software
4860,Application software
3277,Web libraries and frameworks
2829,Non-web libraries and frameworks
